Organization,Followed On
FindYourTopTalent.Com,Fri Apr 03 09:00:58 UTC 2026
RnD Ventures (Prev RnDAO),Thu Oct 02 18:01:15 UTC 2025
Consciousness Expansion Systems,Tue Mar 04 23:42:56 UTC 2025
Conscious Venture Lab,Wed Oct 30 00:26:45 UTC 2024
Leadership,Mon Sep 16 00:46:43 UTC 2024
Big Data Analytics,Mon Sep 16 00:46:15 UTC 2024
Rapid Prototyping,Mon Sep 16 00:46:07 UTC 2024
Meta Startup,Sat May 25 10:39:32 UTC 2024
MIT Alumni Startups (MITAS),Thu May 19 15:14:21 UTC 2022
Integral Shop,Tue Feb 15 17:18:02 UTC 2022
Capgemini Engineering (legacy page),Mon May 17 16:57:51 UTC 2021
Capgemini Engineering,Mon Apr 19 20:29:36 UTC 2021
NUS Business School,Sun Oct 04 12:59:13 UTC 2020
Y Combinator,Tue Jun 16 21:40:22 UTC 2020
Personalytics,Wed Jun 10 18:38:42 UTC 2020
Palma.ai,Sun Jun 07 15:13:51 UTC 2020
MIT Solve,Wed Jun 03 18:07:34 UTC 2020
Saint Petersburg State University of Telecommunications,Wed Nov 27 01:17:11 UTC 2019
The Sage Group,Thu Oct 17 00:28:34 UTC 2019
Stellar Labs,Tue Nov 27 18:18:10 UTC 2018
"B21 Crypto "": Invest | Earn | Spend",Tue Mar 27 04:51:51 UTC 2018
Grandata,Wed Nov 09 18:03:55 UTC 2016
Volaris,Wed Sep 07 18:29:07 UTC 2016
Санкт-Петербургский Государственный Университет Телекоммуникаций,Tue Sep 06 00:43:54 UTC 2016
invalid15099559,Fri Sep 02 00:30:16 UTC 2016
Санкт-Петербургский Государственный Университет,Thu Sep 01 18:22:39 UTC 2016
eBay,Tue Aug 16 20:04:36 UTC 2016
ENOVA México,Tue Aug 16 19:51:23 UTC 2016
Endeavor México,Wed Jul 27 20:26:16 UTC 2016
Adobe,Wed Jul 13 13:31:27 UTC 2016
Project One,Thu Jun 09 00:18:46 UTC 2016
Think with Google,Tue Aug 11 20:34:19 UTC 2015
United Nations,Mon Jul 27 15:11:37 UTC 2015
Tango,Thu Apr 02 18:33:57 UTC 2015
MIT Sloan School of Management,Wed Apr 02 21:21:50 UTC 2014
Google,Mon Mar 04 18:35:31 UTC 2013
LinkedIn,Fri Feb 22 17:45:07 UTC 2013
Boston Consulting Group (BCG),Fri Feb 22 17:44:39 UTC 2013
Yandex,Fri Feb 22 17:44:18 UTC 2013
AIESEC,Fri Feb 22 17:44:07 UTC 2013
Microsoft,Wed Jul 04 19:03:48 UTC 2012
Cullen International,Thu May 24 18:39:59 UTC 2012
Ministry of Transport,Thu May 24 18:39:15 UTC 2012
Federal Communications Commission,Mon May 16 20:16:33 UTC 2016
Analysys Mason,Thu May 24 18:38:46 UTC 2012
ResumUP,Tue May 15 15:32:06 UTC 2012
Comisión Federal de Telecomunicaciones,Thu Apr 26 18:03:10 UTC 2012
Ovum,Tue Apr 24 18:14:40 UTC 2012
BlackBerry,Tue Apr 24 18:02:56 UTC 2012
SAP,Fri Apr 13 21:37:38 UTC 2012
PwC,Tue Apr 10 17:12:42 UTC 2012
VEON,Thu Dec 08 08:17:36 UTC 2011
European Commission,Wed Jun 08 08:54:19 UTC 2011
PwC Consulting,Fri Mar 25 16:56:03 UTC 2011
EY,Fri Mar 25 16:55:48 UTC 2011
Deloitte Consulting,Fri Mar 25 16:54:20 UTC 2011
BearingPoint,Fri Mar 25 16:50:35 UTC 2011
Altran,Fri Mar 25 16:46:21 UTC 2011
Arthur D. Little,Fri Mar 25 16:46:13 UTC 2011
Strategy&,Fri Mar 25 16:45:41 UTC 2011
Bain & Company,Fri Mar 25 16:45:29 UTC 2011
Accenture,Fri Mar 25 16:45:05 UTC 2011
McKinsey & Company,Fri Mar 25 16:44:54 UTC 2011
Ericsson,Fri Mar 25 16:44:42 UTC 2011
ZTE Corporation,Fri Mar 25 16:44:32 UTC 2011
Huawei,Fri Mar 25 16:44:21 UTC 2011
Cisco,Fri Mar 25 16:44:11 UTC 2011
Nokia for service providers,Fri Mar 25 15:57:53 UTC 2011
Alcatel-Lucent,Tue Jul 03 00:26:32 UTC 2012
